language,tl,english,topic,word_type,tier
german,ähnlich,similar,key words,adj,foundation
german,anders,different,key words,adj,foundation
german,das Gegenteil ,opposite,key words,noun,foundation
german,gleich,same,key words,adj,foundation
german,hoch,high,key words,adj,foundation
german,hoher,higher,key words,adj,foundation
german,im Großen und Ganzen,by and large,key words,other,foundation
german,der Unterschied,difference,key words,noun,foundation
german,unterschiedlich,different,key words,adj,foundation
german,vergleichen,to compare,key words,verb,foundation
german,der Vergleich,comparison,key words,noun,foundation
german,verschieden,different,key words,adj,foundation
german,viel,many,key words,other,foundation
german,mehr,more,key words,other,foundation
german,wenigstens,at least,key words,other,foundation
german,als ob,as if,connectives,other,foundation
german,bevor,before,connectives,other,foundation
german,bis,until,connectives,other,foundation
german,da,because,connectives,other,foundation
german,damit,so that,connectives,other,foundation
german,denn,because,connectives,other,foundation
german,entweder,either,connectives,other,foundation
german,nachdem,afterwards,connectives,other,foundation
german,nur,only,connectives,other,foundation
german,ob,whether,connectives,other,foundation
german,obwohl,although,connectives,other,foundation
german,seitdem,since,connectives,other,foundation
german,so dass,so that,connectives,other,foundation
german,um zu,in order to,connectives,other,foundation
german,während,while,connectives,other,foundation
german,weder noch,neither nor,connectives,other,foundation
german,sondern,rather,connectives,other,foundation
german,abgesehen davon,apart from this,connectives,other,foundation
german,angenommen dass,assuming that,connectives,other,foundation
german,außer,except,connectives,other,foundation
german,außerdem,furthermore,connectives,other,foundation
german,danach,afterwards,connectives,other,foundation
german,das heißt,that is,connectives,other,foundation
german,d.h.,ie,connectives,other,foundation
german,dennoch,nevertheless,connectives,other,foundation
german,deshalb,therefore,connectives,other,foundation
german,deswegen,therefore,connectives,other,foundation
german,drittens,thirdly,connectives,other,foundation
german,eigentlich,actually,connectives,other,foundation
german,erstens,firstly,connectives,other,foundation
german,jedoch,however,connectives,other,foundation
german,leider,unfortunately,connectives,other,foundation
german,natürlich,naturally,connectives,other,foundation
german,ohne Zweifel,without a doubt,connectives,other,foundation
german,schließlich,finally,connectives,other,foundation
german,sonst,"otherwise, or else",connectives,other,foundation
german,sowieso,anyway,connectives,other,foundation
german,trotzdem,nevertheless,connectives,other,foundation
german,vorausgesetzt dass,provided that,connectives,other,foundation
german,zuerst,first,connectives,other,foundation
german,zufällig,by chance,connectives,other,foundation
german,zweitens,secondly,connectives,other,foundation
german,ab,from,prepositions,preposition,foundation
german,durch,through,prepositions,preposition,foundation
german,entlang,along,prepositions,preposition,foundation
german,gegen,against,prepositions,preposition,foundation
german,gegenüber,opposite,prepositions,preposition,foundation
german,hinter,behind,prepositions,preposition,foundation
german,nach,after,prepositions,preposition,foundation
german,neben,"around, ",prepositions,preposition,foundation
german,ohne,without,prepositions,preposition,foundation
german,über,above,prepositions,preposition,foundation
german,um,at,prepositions,preposition,foundation
german,unter,below,prepositions,preposition,foundation
german,von,from,prepositions,preposition,foundation
german,vorbei,past,prepositions,preposition,foundation
german,während,during,prepositions,preposition,foundation
german,wegen,because of,prepositions,preposition,foundation
german,zwischen,between,prepositions,preposition,foundation
german,gar nicht,not at all,key words,other,foundation
german,nicht mehr,no longer,key words,other,foundation
german,nichts,nothing,key words,other,foundation
german,nie,never,key words,other,foundation
german,niemals,never,key words,other,foundation
german,niemand,nobody,key words,other,foundation
german,noch nicht,not yet,key words,other,foundation
german,überhaupt nicht,not at all,key words,other,foundation
german,der Buchstabe,letter,key words,noun,foundation
german,buchstabieren,to spell,key words,verb,foundation
german,das Dutzend,dozen,key words,noun,foundation
german,die Nummer,number,key words,noun,foundation
german,das Paar,pair,key words,noun,foundation
german,die Zahl,number,key words,noun,foundation
german,das Bargeld,cash,key words,noun,foundation
german,der Geldschein,note,key words,noun,foundation
german,das Geldstück ,coin,key words,noun,foundation
german,das Kleingeld,small change,key words,noun,foundation
german,die Münze,coin,key words,noun,foundation
german,das Taschengeld,pocket money,home and local area,noun,foundation
german,wechseln,to change,key words,verb,foundation
german,wann,when,key words,other,foundation
german,warum,why,key words,other,foundation
german,was für,what sort of,key words,other,foundation
german,was,what,key words,other,foundation
german,welcher,which,key words,other,foundation
german,wer,who,key words,other,foundation
german,wie lang,how long,key words,other,foundation
german,wie viel,how many,key words,other,foundation
german,wie,how,key words,other,foundation
german,wieso,how come,key words,other,foundation
german,wo,where,key words,other,foundation
german,woher,where from,key words,other,foundation
german,wohin,where to,key words,other,foundation
german,womit,what with,key words,other,foundation
german,alles Gute,all the best,key words,other,foundation
german,bis bald,see you later,key words,other,foundation
german,Entschuldigung,excuse me,key words,other,foundation
german,Frohe Weihnachten,Merry Christmas,festivals,other,foundation
german,gern geschehen,don’t mention it,key words,other,foundation
german,herzlich willkommen,welcome,key words,other,foundation
german,herzlichen Glückwunsch,congratulations,key words,other,foundation
german,prost,cheers,festivals,other,foundation
german,schöne Ferien,have a good holiday,festivals,other,foundation
german,viel Glück,good luck,key words,other,foundation
german,die Ahnung,idea,opinions,noun,foundation
german,amüsant,amusing,opinions,adj,foundation
german,angenehm,pleasant,opinions,adj,foundation
german,Angst haben,to be afraid,opinions,verb,foundation
german,ängstlich,anxious,opinions,adj,foundation
german,ausgezeichnet,excellent,opinions,adj,foundation
german,bequem,comfortable,opinions,adj,foundation
german,bestimmt,definitely,opinions,other,foundation
german,billig,cheap,opinions,adj,foundation
german,blöd,stupid,opinions,adj,foundation
german,der Blödsinn,nonsense,opinions,noun,foundation
german,böse,angry,opinions,adj,foundation
german,dafür,in favour,opinions,adj,foundation
german,dagegen,opposed,opinions,adj,foundation
german,das ist mir egal,it doesn’t matter,opinions,other,foundation
german,denken,to think,opinions,verb,foundation
german,deprimiert,depressed,opinions,adj,foundation
german,die Nase voll haben,to be fed up with ,opinions,verb,foundation
german,doof,stupid,opinions,adj,foundation
german,eindrucksvoll,impressive,opinions,adj,foundation
german,einfach,simple,opinions,adj,foundation
german,entsetzlich,"terrible, awful, appalling",opinions,adj,foundation
german,das stimmt,that’s right,opinions,other,foundation
german,es gefällt mir,I like it,opinions,other,foundation
german,es kommt darauf an,it depends on,opinions,other,foundation
german,es satt haben,to be fed up with,opinions,verb,foundation
german,froh,glad,opinions,adj,foundation
german,furchtbar,terrible,opinions,adj,foundation
german,gemütlich,cosy,opinions,adj,foundation
german,genießen,to enjoy,opinions,verb,foundation
german,glauben,to believe,opinions,verb,foundation
german,hassen,to hate,opinions,verb,foundation
german,herrlich,marvellous,opinions,adj,foundation
german,hervorragend,outstanding,opinions,adj,foundation
german,interessieren sich für,to be interested in,opinions,verb,foundation
german,keine Ahnung haben,to have no idea,opinions,verb,foundation
german,klasse,great,opinions,adj,foundation
german,kompliziert,complicated,opinions,adj,foundation
german,langweilen sich,to be bored,opinions,verb,foundation
german,leicht,easy,opinions,adj,foundation
german,lieb,lovely,opinions,adj,foundation
german,lieben,to love,opinions,verb,foundation
german,lustig,funny,opinions,adj,foundation
german,meinen,to think,opinions,verb,foundation
german,die Meinung,opinion,opinions,noun,foundation
german,mies,lousy,opinions,adj,foundation
german,möglich,possible,opinions,adj,foundation
german,mühelos,effortless,opinions,adj,foundation
german,mühsam,tedious,opinions,adj,foundation
german,nützlich,useful,opinions,adj,foundation
german,nutzlos,useless,opinions,adj,foundation
german,prima,great,opinions,adj,foundation
german,sauer sein,to be cross,opinions,verb,foundation
german,schade,it’s a shame,opinions,other,foundation
german,schrecklich,horrible,opinions,adj,foundation
german,schwierig,difficult,opinions,adj,foundation
german,sensibel,sensitive,opinions,adj,foundation
german,sicher,safe,opinions,adj,foundation
german,sogar,even,opinions,other,foundation
german,spitze,great,opinions,adj,foundation
german,teuer,expensive,opinions,adj,foundation
german,typisch,typical,opinions,adj,foundation
german,überrascht,surprised,opinions,adj,foundation
german,unglaublich,unbelievable,opinions,adj,foundation
german,unmöglich,impossible,opinions,adj,foundation
german,unsicher,unsure,opinions,adj,foundation
german,vielleicht,perhaps,opinions,other,foundation
german,völlig,completely,opinions,other,foundation
german,vorziehen,to prefer,opinions,verb,foundation
german,wahrscheinlich,probably,opinions,other,foundation
german,wichtig,important,opinions,adj,foundation
german,wirklich,really,opinions,other,foundation
german,wunderbar,wonderful,opinions,adj,foundation
german,wunderschön,gorgeous,opinions,adj,foundation
german,wünschen,to wish,opinions,verb,foundation
german,zufrieden,content,opinions,adj,foundation
german,zustimmen,to agree,opinions,verb,foundation
german,die Jahreszeit,season,key words,noun,foundation
german,das Jahr,year,key words,noun,foundation
german,der Monat,month,key words,noun,foundation
german,genau,exactly,key words,other,foundation
german,halb,half,key words,other,foundation
german,der Mittag,midday,key words,noun,foundation
german,die Mitternacht,midnight,key words,noun,foundation
german,nachgehen,to be slow,key words,verb,foundation
german,pünktlich,punctual,key words,adj,foundation
german,spät,late,key words,adj,foundation
german,die Stunde,hour,key words,noun,foundation
german,die Uhr,clock,key words,noun,foundation
german,um wie viel Uhr,what time,key words,other,foundation
german,das Viertel,quarter,key words,noun,foundation
german,vorgehen,to be fast,key words,verb,foundation
german,wie spät ist es,what time is it,key words,other,foundation
german,die Zeit,time,key words,noun,foundation
german,ab und zu,now and again,key words,other,foundation
german,der Abend,evening,key words,noun,foundation
german,der Anfang,beginning,key words,noun,foundation
german,der Augenblick,moment,key words,noun,foundation
german,aus sein,to be over,key words,verb,foundation
german,bald,soon,key words,adj,foundation
german,damals,in those days,key words,other,foundation
german,das Datum,date,key words,noun,foundation
german,dauern,to last,key words,verb,foundation
german,ehemalig,former,key words,adj,foundation
german,einmal,once,key words,other,foundation
german,endlich,finally,key words,other,foundation
german,erst,at first,key words,other,foundation
german,fast,almost,key words,other,foundation
german,früh,early,key words,adj,foundation
german,die Gegenwart,present,key words,noun,foundation
german,gerade,just,key words,other,foundation
german,gestern,yesterday,key words,other,foundation
german,gewöhnlich,usually,key words,other,foundation
german,gleich,immediately,key words,other,foundation
german,heute,today,key words,other,foundation
german,heutzutage,nowadays,key words,other,foundation
german,im Voraus,in advance,key words,other,foundation
german,immer,always,key words,other,foundation
german,immer wieder,again and again,key words,other,foundation
german,inzwischen,in the meantime,key words,other,foundation
german,das Jahrhundert,century,key words,noun,foundation
german,jetzt,now,key words,other,foundation
german,kürzlich,recently,key words,other,foundation
german,langsam,slow,key words,adj,foundation
german,letzter,last,key words,other,foundation
german,das Mal,time,key words,noun,foundation
german,manchmal,sometimes,key words,other,foundation
german,montags,on Mondays,key words,other,foundation
german,morgen,tomorrow,key words,other,foundation
german,der Morgen ,morning,key words,noun,foundation
german,morgen früh,tomorrow morning,key words,other,foundation
german,nachher,afterwards,key words,other,foundation
german,der Nachmittag,afternoon,key words,noun,foundation
german,nächster,next,key words,other,foundation
german,die Nacht,night,key words,noun,foundation
german,nachts,at night,key words,other,foundation
german,neulich,recently,key words,other,foundation
german,noch einmal,once more,key words,other,foundation
german,normalerweise,normally,key words,other,foundation
german,nun,now,key words,other,foundation
german,plötzlich,suddenly,key words,other,foundation
german,regelmäßig,regular,key words,adj,foundation
german,schnell,fast,key words,adj,foundation
german,schon,already,key words,other,foundation
german,seit,since,key words,other,foundation
german,selten,rarely,key words,other,foundation
german,sofort,immediately,key words,other,foundation
german,täglich,daily,key words,adj,foundation
german,übermorgen,the day after tomorrow,key words,other,foundation
german,die Vergangenheit,past,key words,noun,foundation
german,vorgestern,the day before yesterday,key words,other,foundation
german,vorher,beforehand,key words,other,foundation
german,der Vormittag,morning,key words,noun,foundation
german,wieder,again,key words,other,foundation
german,zu Ende sein, to finish,key words,verb,foundation
german,die Zukunft,future,key words,noun,foundation
german,außerhalb,outside of,key words,other,foundation
german,bleiben,to stay,key words,verb,foundation
german,draußen,outside,key words,other,foundation
german,drinnen,inside,key words,other,foundation
german,drüben,over there,key words,other,foundation
german,die Ecke,corner,key words,noun,foundation
german,entfernt,away,key words,other,foundation
german,geradeaus,straight ahead,key words,other,foundation
german,hin und her,to and fro,key words,other,foundation
german,hin und zurück,there and back,key words,other,foundation
german,in der Nähe,nearby,key words,other,foundation
german,irgendwo,somewhere,key words,other,foundation
german,liegen,to lie,key words,verb,foundation
german,die Meile,mile,key words,noun,foundation
german,nah,near,key words,adj,foundation
german,nirgendwo,nowhere,key words,other,foundation
german,oben,"above, up",key words,preposition,foundation
german,der Ort,place,key words,noun,foundation
german,die Seite,side,key words,noun,foundation
german,überall,everywhere,key words,other,foundation
german,unten,at the bottom,key words,preposition,foundation
german,vorwärts,forwards,key words,preposition,foundation
german,weg,away,key words,preposition,foundation
german,weit,far,key words,adj,foundation
german,zurück,back,key words,preposition,foundation
german,alle,all,key words,other,foundation
german,alles,everything,key words,other,foundation
german,anderer,other,key words,other,foundation
german,beide,both,key words,other,foundation
german,breit,wide,key words,adj,foundation
german,dick,fat,key words,adj,foundation
german,das Ding,thing,key words,noun,foundation
german,die Dose,can,key words,noun,foundation
german,dünn,thin,key words,adj,foundation
german,ein bisschen,a little,key words,other,foundation
german,ein paar,a few,key words,other,foundation
german,eine Menge,a lot,key words,noun,foundation
german,einige,some,key words,other,foundation
german,einzeln,single,key words,adj,foundation
german,etwa,roughly,key words,other,foundation
german,die Flasche,bottle,key words,noun,foundation
german,ganz,whole,key words,other,foundation
german,genug,enough,key words,adj,foundation
german,gewaltig,enormously,key words,other,foundation
german,das Gewicht,weight,key words,noun,foundation
german,die Größe,size,key words,noun,foundation
german,der Karton,cardboard box,key words,noun,foundation
german,der Kasten,box,key words,noun,foundation
german,kaum,hardly,key words,other,foundation
german,leer,empty,key words,adj,foundation
german,leicht,light,key words,adj,foundation
german,das Maß,measure,key words,noun,foundation
german,mehrere,several,key words,other,foundation
german,messen,to measure,key words,verb,foundation
german,mindestens,at least,key words,other,foundation
german,mittelgroß,medium-sized,key words,adj,foundation
german,noch,still,key words,other,foundation
german,die Packung,packet,key words,noun,foundation
german,das Paket,parcel,key words,noun,foundation
german,das Pfund,pound,key words,noun,foundation
german,pro,per,key words,other,foundation
german,die Schachtel,"box, packet",key words,noun,foundation
german,die Scheibe,slice,key words,noun,foundation
german,schwer,heavy,key words,adj,foundation
german,das Stück,piece,key words,noun,foundation
german,die Tüte,bag,key words,noun,foundation
german,ungefähr,about,key words,other,foundation
german,voll,full,key words,adj,foundation
german,wenig,little,key words,adj,foundation
german,wiegen,to weigh,key words,verb,foundation
german,der Kreis,circle,key words,noun,foundation
german,rund,round,key words,adj,foundation
german,viereckig,square,key words,adj,foundation
german,bedeckt,overcast,travel and tourism,adj,foundation
german,der Blitz,lightning,travel and tourism,noun,foundation
german,Donner der,thunder,travel and tourism,noun,foundation
german,feucht,damp,travel and tourism,adj,foundation
german,frieren,to freeze,travel and tourism,verb,foundation
german,frisch,fresh,travel and tourism,adj,foundation
german,das Gewitter,thunderstorm,travel and tourism,noun,foundation
german,der Grad,degree,travel and tourism,noun,foundation
german,der Hagel,hail,travel and tourism,noun,foundation
german,heftig,severe,travel and tourism,adj,foundation
german,der Himmel,sky,travel and tourism,noun,foundation
german,das Klima,climate,travel and tourism,noun,foundation
german,kühl,cool,travel and tourism,adj,foundation
german,der Mond,moon,travel and tourism,noun,foundation
german,nass,wet,travel and tourism,adj,foundation
german,der Nebel,fog,travel and tourism,noun,foundation
german,nebelig,foggy,travel and tourism,adj,foundation
german,der Niederschlag,precipitation,travel and tourism,noun,foundation
german,der Regen,rain,travel and tourism,noun,foundation
german,regnen,to rain,travel and tourism,verb,foundation
german,der Schatten,shadow,travel and tourism,noun,foundation
german,schattig,shady,travel and tourism,adj,foundation
german,der Regenschauer,rain shower,travel and tourism,noun,foundation
german,scheinen,shine,travel and tourism,verb,foundation
german,schneien,to snow,travel and tourism,verb,foundation
german,der Sturm,storm,travel and tourism,noun,foundation
german,stürmisch,stormy,travel and tourism,adj,foundation
german,trocken,dry,travel and tourism,adj,foundation
german,der Wetterbericht,weather report,travel and tourism,noun,foundation
german,die Wettervorhersage,weather forecast,travel and tourism,noun,foundation
german,die Wolke,cloud,travel and tourism,noun,foundation
german,wolkig,cloudy,travel and tourism,adj,foundation
german,auf sein,to be open,local area,verb,foundation
german,aufmachen,to open,local area,verb,foundation
german,die Ausfahrt,motorway exit,local area,noun,foundation
german,der Ausgang,exit,local area,noun,foundation
german,besetzt,occupied,local area,adj,foundation
german,die Einfahrt,entry,local area,noun,foundation
german,der Eingang,entrance,local area,noun,foundation
german,der Eintritt,admission,local area,noun,foundation
german,frei,free,local area,adj,foundation
german,geschlossen,closed,local area,adj,foundation
german,offen,open,local area,adj,foundation
german,öffnen,to open,local area,verb,foundation
german,schließen,to close,local area,verb,foundation
german,verboten,forbidden,local area,adj,foundation
german,zu sein,to be closed,local area,verb,foundation
german,zumachen,to close,local area,verb,foundation
german,falsch,wrong,key words,adj,foundation
german,Fehler,"mistake, error",key words,noun,foundation
german,Recht haben,to be right,key words,verb,foundation
german,richtig,correct,key words,adj,foundation
german,Unrecht haben,to be wrong,key words,verb,foundation
german,verbessern,to improve,key words,verb,foundation
german,die Verbesserung,improvement,key words,noun,foundation
german,die Baumwolle,cotton,key words,noun,foundation
german,bestehen aus,to consist of,key words,verb,foundation
german,das Eisen,iron,key words,noun,foundation
german,das Holz,wood,key words,noun,foundation
german,das Leder,leather,key words,noun,foundation
german,die Pappe,cardboard,key words,noun,foundation
german,die Seide,silk,key words,noun,foundation
german,der Stoff,material,key words,noun,foundation
german,die Wolle,wool,key words,noun,foundation
german,die AG,club,education,noun,foundation
german,usw.,etc,key words,other,foundation
german,z.B.,e.g.,key words,other,foundation
german,allein,alone,"me, my family and friends",adj,foundation
german,das Alter,age,"me, my family and friends",noun,foundation
german,altmodisch,old-fashioned,"me, my family and friends",adj,foundation
german,sich ärgern,to be annoyed,"me, my family and friends",verb,foundation
german,auf die Nerven gehen,to get on one’s nerves,"me, my family and friends",verb,foundation
german,auskommen mit,to get on with,"me, my family and friends",verb,foundation
german,aussehen,to look like,"me, my family and friends",verb,foundation
german,der Ausweis,id card,"me, my family and friends",noun,foundation
german,der Bart,beard,"me, my family and friends",noun,foundation
german,berühmt,famous,"me, my family and friends",adj,foundation
german,der Besuch,visit,"me, my family and friends",noun,foundation
german,besuchen,to visit,"me, my family and friends",verb,foundation
german,bevorzugen,to prefer,"me, my family and friends",verb,foundation
german,bitten,to ask,"me, my family and friends",verb,foundation
german,der Brieffreund,pen-friend,"me, my family and friends",noun,foundation
german,die Brille,glasses,"me, my family and friends",noun,foundation
german,egoistisch,selfish,"me, my family and friends",adj,foundation
german,ehrlich,honest,"me, my family and friends",adj,foundation
german,das Einzelkind,only child,"me, my family and friends",noun,foundation
german,das Enkelkind,grandchild,"me, my family and friends",noun,foundation
german,entschuldigen,to apologise,"me, my family and friends",verb,foundation
german,erlauben,to allow,"me, my family and friends",verb,foundation
german,ernst,serious,"me, my family and friends",adj,foundation
german,der Erwachsene,adult,"me, my family and friends",noun,foundation
german,das Familienmitglied,family member,"me, my family and friends",noun,foundation
german,frech,cheeky,"me, my family and friends",adj,foundation
german,die Freundschaft,friendship,"me, my family and friends",noun,foundation
german,sich fühlen,to feel,"me, my family and friends",verb,foundation
german,füttern,to feed,"me, my family and friends",verb,foundation
german,geboren,born,"me, my family and friends",verb,foundation
german,die Geburt,birth,"me, my family and friends",noun,foundation
german,das Geburtsdatum,date of birth,"me, my family and friends",noun,foundation
german,der Geburtsort,place of birth,"me, my family and friends",noun,foundation
german,geduldig,patient,"me, my family and friends",adj,foundation
german,das Gefühl,feeling,"me, my family and friends",noun,foundation
german,gemein,mean,"me, my family and friends",adj,foundation
german,gern haben,to like,"me, my family and friends",verb,foundation
german,geschieden,divorced,"me, my family and friends",adj,foundation
german,das Geschlecht,gender,"me, my family and friends",noun,foundation
german,getrennt,separated,"me, my family and friends",adj,foundation
german,glatt,straight,"me, my family and friends",adj,foundation
german,glücklich,happy,"me, my family and friends",adj,foundation
german,der Grund,reason,"me, my family and friends",noun,foundation
german,gut gelaunt,good-tempered,"me, my family and friends",adj,foundation
german,schlechte Laune haben,to be in a bad mood,"me, my family and friends",verb,foundation
german,hässlich,ugly,"me, my family and friends",adj,foundation
german,heiraten,to marry,"me, my family and friends",verb,foundation
german,hilfsbereit,helpful,"me, my family and friends",adj,foundation
german,die Hochzeit,wedding,"me, my family and friends",noun,foundation
german,höflich,polite,"me, my family and friends",adj,foundation
german,hübsch,pretty,"me, my family and friends",adj,foundation
german,humorlos,humourless,"me, my family and friends",adj,foundation
german,humorvoll,humorous,"me, my family and friends",adj,foundation
german,ich kann es nicht leiden,I can’t stand it,"me, my family and friends",other,foundation
german,der Jugendliche,young person,"me, my family and friends",noun,foundation
german,der Junge,boy,"me, my family and friends",noun,foundation
german,kennen,to know,"me, my family and friends",verb,foundation
german,kennen lernen,to get to know,"me, my family and friends",verb,foundation
german,komisch,weird,"me, my family and friends",adj,foundation
german,sich kümmern um,to look after,"me, my family and friends",verb,foundation
german,der Kuss,kiss,"me, my family and friends",noun,foundation
german,küssen,to kiss,"me, my family and friends",verb,foundation
german,leben,to live,"me, my family and friends",verb,foundation
german,lebhaft,lively,"me, my family and friends",adj,foundation
german,ledig,single,"me, my family and friends",adj,foundation
german,die Leute,people,"me, my family and friends",noun,foundation
german,lockig,curly,"me, my family and friends",adj,foundation
german,der Mensch,person,"me, my family and friends",noun,foundation
german,nennen,to call,"me, my family and friends",verb,foundation
german,nerven,to get on someone’s nerves,"me, my family and friends",verb,foundation
german,das Ohr,ear,"me, my family and friends",noun,foundation
german,ordentlich,tidy,"me, my family and friends",adj,foundation
german,die Persönlichkeit,personality,"me, my family and friends",noun,foundation
german,der Reisepass,passport,"me, my family and friends",noun,foundation
german,ruhig,quiet,"me, my family and friends",adj,foundation
german,sich schämen,to be ashamed,"me, my family and friends",verb,foundation
german,sich scheiden lassen,to get divorced,"me, my family and friends",verb,foundation
german,der Schnurrbart,moustache,"me, my family and friends",noun,foundation
german,schüchtern,shy,"me, my family and friends",adj,foundation
german,selbst,self,"me, my family and friends",other,foundation
german,selbstständig,independent,"me, my family and friends",adj,foundation
german,der Spitzname,nickname,"me, my family and friends",noun,foundation
german,still,quiet,"me, my family and friends",adj,foundation
german,der Streit,argument,"me, my family and friends",noun,foundation
german,sich streiten,to argue,"me, my family and friends",verb,foundation
german,streng,strict,"me, my family and friends",adj,foundation
german,die Tätowierung,tattoo,"me, my family and friends",noun,foundation
german,der Traum,dream,"me, my family and friends",noun,foundation
german,traurig,sad,"me, my family and friends",adj,foundation
german,sich trennen,to separate,"me, my family and friends",verb,foundation
german,der Typ,guy,"me, my family and friends",noun,foundation
german,unternehmungslustig,adventurous,"me, my family and friends",adj,foundation
german,unterstützen,to support,"me, my family and friends",verb,foundation
german,vergeben,to forgive,"me, my family and friends",verb,foundation
german,das Verhältnis,relationship,"me, my family and friends",noun,foundation
german,verheiratet,married,"me, my family and friends",adj,foundation
german,sich verloben,to get engaged,"me, my family and friends",verb,foundation
german,verlobt,engaged,"me, my family and friends",adj,foundation
german,verstehen sich mit,to get on with,"me, my family and friends",verb,foundation
german,der Vorname,first name,"me, my family and friends",noun,foundation
german,sich vorstellen,to introduce oneself,"me, my family and friends",verb,foundation
german,weinen,to cry,"me, my family and friends",verb,foundation
german,witzig,funny,"me, my family and friends",adj,foundation
german,der Wohnort,where you live,"me, my family and friends",noun,foundation
german,der Zahn,tooth,"me, my family and friends",noun,foundation
german,die zivile Partnerschaft,civil partnership,"me, my family and friends",noun,foundation
german,zusammen,together,"me, my family and friends",adj,foundation
german,die Zwillinge,twins,"me, my family and friends",noun,foundation
german,drucken,to print,technology,verb,foundation
german,der Anrufbeantworter,voicemail,technology,noun,foundation
german,anrufen,to phone,technology,verb,foundation
german,benutzen,to use,technology,verb,foundation
german,sich beschreiben,to describe yourself,technology,verb,foundation
german,der Bindestrich,hyphen,technology,noun,foundation
german,die Daten,data,technology,noun,foundation
german,der Drucker,printer,technology,noun,foundation
german,empfangen,to receive,technology,verb,foundation
german,entwickeln,to develop,technology,verb,foundation
german,die Entwicklung,development,technology,noun,foundation
german,funktionieren,to function,technology,verb,foundation
german,die Gefahr,danger,technology,noun,foundation
german,gehören zu,to belong to,technology,verb,foundation
german,herunterladen,download,technology,verb,foundation
german,hochladen,upload,technology,verb,foundation
german,der Klingelton,ringtone,technology,noun,foundation
german,lehrreich,educational,technology,adj,foundation
german,löschen,to delete,technology,verb,foundation
german,die Medien,media,technology,noun,foundation
german,der Missbrauch,abuse,technology,noun,foundation
german,missbrauchen,to abuse,technology,verb,foundation
german,die Nachrichten,news,technology,noun,foundation
german,das Netz,net,technology,noun,foundation
german,das Netzwerk,network,technology,noun,foundation
german,peinlich,embarrassing,technology,adj,foundation
german,das Postfach,inbox,technology,noun,foundation
german,der Punkt,dot,technology,noun,foundation
german,der Rechner,calculator,technology,noun,foundation
german,das Risiko,risk,technology,noun,foundation
german,schicken,to send,technology,verb,foundation
german,der Schrägstrich,forward slash,technology,noun,foundation
german,der Schutz,protection,technology,noun,foundation
german,simsen,to text,technology,verb,foundation
german,die soziale Medien,social media,technology,noun,foundation
german,speichern,to save ,technology,verb,foundation
german,die Startseite,homepage,technology,noun,foundation
german,teilen,to share,technology,verb,foundation
