language,tl,english,topic,word_type,tier
german,der Unterstrich,underscore,technology,noun,foundation
german,das WLAN,wifi,technology,noun,foundation
german,der Abenteuerfilm,adventure film,leisure,noun,foundation
german,sich amüsieren,to have fun,leisure,verb,foundation
german,Ananas,pineapple,leisure,noun,foundation
german,anfangen,to start,leisure,verb,foundation
german,angeln,to fish,leisure,verb,foundation
german,die Apfelsine,orange,leisure,noun,foundation
german,die Aprikose,apricot,leisure,noun,foundation
german,der Badeanzug,swim suit,leisure,noun,foundation
german,die Badehose,swimming trunks,leisure,noun,foundation
german,bedienen,to serve,leisure,verb,foundation
german,sich beschweren,to complain,leisure,verb,foundation
german,bestellen,to order,leisure,verb,foundation
german,bezahlen,to pay,leisure,verb,foundation
german,der Bildschirm,screen,leisure,noun,foundation
german,die Birne,pear,leisure,noun,foundation
german,die Blockflöte,recorder,leisure,noun,foundation
german,der Blumenkohl,cauliflower,leisure,noun,foundation
german,die Bohne,bean,leisure,noun,foundation
german,der Braten,roast meat,leisure,noun,foundation
german,die Bratwurst,fried sausage,leisure,noun,foundation
german,der Durst,thirst,leisure,noun,foundation
german,durstig,thirsty,leisure,adj,foundation
german,das Ei,egg,leisure,noun,foundation
german,das Eintrittsgeld,admission fee,leisure,noun,foundation
german,die Eintrittskarte,ticket,leisure,noun,foundation
german,die Eisdiele,ice cream parlour,leisure,noun,foundation
german,das Eislaufen,ice-skating,leisure,noun,foundation
german,empfehlen,to recommend,leisure,verb,foundation
german,die Erbse,pea,leisure,noun,foundation
german,die Erdbeere,strawberry,leisure,noun,foundation
german,der Essig,vinegar,leisure,noun,foundation
german,fechten,to fence,leisure,verb,foundation
german,der Federball,badminton,leisure,noun,foundation
german,folgen,to follow,leisure,verb,foundation
german,das Freibad,outdoor swimming pool,leisure,noun,foundation
german,die Frikadelle,meatball,leisure,noun,foundation
german,der Fruchtsaft,fruit juice,leisure,noun,foundation
german,das Gasthaus,pub,leisure,noun,foundation
german,die Gurke,cucumber,leisure,noun,foundation
german,die Haferflocken,porridge,leisure,noun,foundation
german,das Hallenbad,indoor swimming pool,leisure,noun,foundation
german,hart,hard,leisure,adj,foundation
german,das Hauptgericht,main course,leisure,noun,foundation
german,die Himbeere,raspberry,leisure,noun,foundation
german,holen,to fetch,leisure,verb,foundation
german,der Imbiss,snack,leisure,noun,foundation
german,die Imbissbude,takeaway,leisure,noun,foundation
german,der Jugendklub,youth club,leisure,noun,foundation
german,der Kakao,cocoa,leisure,noun,foundation
german,das Kännchen,teapot,leisure,noun,foundation
german,die Kartoffel,potato,leisure,noun,foundation
german,der Käse,cheese,leisure,noun,foundation
german,kegeln,bowling,leisure,verb,foundation
german,der Keks,biscuit,leisure,noun,foundation
german,die Kirsche,cherry,leisure,noun,foundation
german,klettern,to climb,leisure,verb,foundation
german,der Korbball,netball,leisure,noun,foundation
german,köstlich,delicious,leisure,adj,foundation
german,das Kotelett,pork chop,leisure,noun,foundation
german,der Krimi,crime film,leisure,noun,foundation
german,lachen,to laugh,leisure,verb,foundation
german,laufen,to run,leisure,verb,foundation
german,lecker,tasty,leisure,adj,foundation
german,die Leinwand,cinema screen,leisure,noun,foundation
german,der Liebesfilm,romantic film,leisure,noun,foundation
german,das Lied,song,leisure,noun,foundation
german,Lust haben,to feel like,leisure,verb,foundation
german,das Mitglied,member,leisure,noun,foundation
german,die Nachspeise,dessert,leisure,noun,foundation
german,die Nudeln,pasta,leisure,noun,foundation
german,die Nuss,nut,leisure,noun,foundation
german,das Obst,fruit,leisure,noun,foundation
german,das Öl,oil,leisure,noun,foundation
german,der Pfeffer,pepper,leisure,noun,foundation
german,der Pfirsich,peach,leisure,noun,foundation
german,die Pflaume,plum,leisure,noun,foundation
german,der Pilz,mushroom,leisure,noun,foundation
german,probieren,to try,leisure,verb,foundation
german,die Pute,turkey,leisure,noun,foundation
german,die Rechnung,bill,leisure,noun,foundation
german,rennen,to run,leisure,verb,foundation
german,riechen,to smell,leisure,verb,foundation
german,ringen,to wrestle,leisure,verb,foundation
german,rodeln,to go sledging,leisure,verb,foundation
german,roh,raw,leisure,adj,foundation
german,Rollschuh laufen,to go rollerskating,leisure,verb,foundation
german,rudern,to row,leisure,verb,foundation
german,der Saft,juice,leisure,noun,foundation
german,die Sahne,cream,leisure,noun,foundation
german,sammeln,to collect,leisure,verb,foundation
german,satt,full up,leisure,adj,foundation
german,das Schach,chess,leisure,noun,foundation
german,scharf,spicy,leisure,adj,foundation
german,das Schaschlik,kebab,leisure,noun,foundation
german,schießen,to shoot,leisure,verb,foundation
german,schmecken,to taste,leisure,verb,foundation
german,das Segelboot,sailing boat,leisure,noun,foundation
german,segeln,to sail,leisure,verb,foundation
german,die Seifenoper,soap opera,leisure,noun,foundation
german,die Selbstbedienung,self-service,leisure,noun,foundation
german,die Sendung,programme,leisure,noun,foundation
german,der Senf,mustard,leisure,noun,foundation
german,die Serie,series,leisure,noun,foundation
german,der Sitz,seat,leisure,noun,foundation
german,sitzen,to sit,leisure,verb,foundation
german,spannend,exciting,leisure,adj,foundation
german,die Speisekarte,menu,leisure,noun,foundation
german,der Speisesaal,dining hall,leisure,noun,foundation
german,das Spielzeug,toy,leisure,noun,foundation
german,der Spinat,spinach,leisure,noun,foundation
german,die Sportart,type of sport,leisure,noun,foundation
german,springen,to jump,leisure,verb,foundation
german,das Stadion,stadium,leisure,noun,foundation
german,die Stimme,voice,leisure,noun,foundation
german,stricken,to knit,leisure,verb,foundation
german,die Suppe,soup,leisure,noun,foundation
german,süß,sweet,leisure,adj,foundation
german,das Tagesgericht,dish of the day,leisure,noun,foundation
german,tauchen,to dive,leisure,verb,foundation
german,der Thunfisch,tuna,leisure,noun,foundation
german,das Tor,goal,leisure,noun,foundation
german,die Torte,gateau,leisure,noun,foundation
german,der Trainingsanzug,tracksuit,leisure,noun,foundation
german,die Trainingsschuhe,trainers,leisure,noun,foundation
german,treffen,to meet,leisure,verb,foundation
german,das Trinkgeld,tip,leisure,noun,foundation
german,turnen,to do gymnastics,leisure,verb,foundation
german,sich unterhalten,to have a chat,leisure,verb,foundation
german,die Unterhaltung,entertainment,leisure,noun,foundation
german,der Vegetarier,vegetarian,leisure,noun,foundation
german,verlieren,to lose,leisure,verb,foundation
german,die Volksmusik,folk music,leisure,noun,foundation
german,vorschlagen,to suggest,leisure,verb,foundation
german,die Vorspeise,starter,leisure,noun,foundation
german,die Vorstellung,performance,leisure,noun,foundation
german,wandern,to hike,leisure,verb,foundation
german,weich,soft,leisure,adj,foundation
german,die Weintraube,grape,leisure,noun,foundation
german,die Werbung,advert,leisure,noun,foundation
german,werfen,to throw,leisure,verb,foundation
german,der Wettbewerb,competition,leisure,noun,foundation
german,die Wurst,sausage,leisure,noun,foundation
german,zahlen,to pay,leisure,verb,foundation
german,der Zeichentrickfilm,cartoon,leisure,noun,foundation
german,die Zeitschrift,magazine,leisure,noun,foundation
german,die Zeitung,newspaper,leisure,noun,foundation
german,das Zeug,thing,leisure,noun,foundation
german,ziehen,to pull,leisure,verb,foundation
german,die Zitrone,lemon,leisure,noun,foundation
german,der Zucker,sugar,leisure,noun,foundation
german,der Zuschauer,spectator,leisure,noun,foundation
german,die Zwiebel,onion,leisure,noun,foundation
german,der Adventskranz,advent wreath,festivals,noun,foundation
german,anzünden,to light,festivals,verb,foundation
german,der Aschermittwoch,Ash Wednesday,festivals,noun,foundation
german,bekommen,to get,festivals,verb,foundation
german,danken,to thank,festivals,verb,foundation
german,einladen,to invite,festivals,verb,foundation
german,die Einladung,invitation,festivals,noun,foundation
german,die Feier,celebration,festivals,noun,foundation
german,feiern,to celebrate,festivals,verb,foundation
german,der Feiertag,bank holiday,festivals,noun,foundation
german,das Fest,festival,festivals,noun,foundation
german,das Feuerwerk,fireworks,festivals,noun,foundation
german,sich freuen auf,to look forward to,festivals,verb,foundation
german,der Gast,guest,festivals,noun,foundation
german,der Gastgeber,host,festivals,noun,foundation
german,das Geschenk,present,festivals,noun,foundation
german,Heiliger Abend,Christmas Eve,festivals,noun,foundation
german,Heilige Drei Könige,Epiphany,festivals,noun,foundation
german,der Karfreitag,Good Friday,festivals,noun,foundation
german,der Karneval,carnival,festivals,noun,foundation
german,die Kerze,candle,festivals,noun,foundation
german,kirchlich,religious,festivals,adj,foundation
german,der Lebkuchen,gingerbread,festivals,noun,foundation
german,der Maifeiertag,May Day,festivals,noun,foundation
german,der Muttertag,Mother’s Day,festivals,noun,foundation
german,der Neujahrstag,New Year’s Day,festivals,noun,foundation
german,das Osterei,Easter egg,festivals,noun,foundation
german,der Osterhase,Easter bunny,festivals,noun,foundation
german,Ostern,Easter,festivals,noun,foundation
german,Pfingsten,Whitsuntide,festivals,noun,foundation
german,Sankt Nikolaus ,St Nicholas' Day,festivals,verb,foundation
german,schmücken,to decorate,festivals,noun,foundation
german,Silvester,New Year’s Eve,festivals,noun,foundation
german,der Tag der Deutschen Einheit,Day of German Unity,festivals,noun,foundation
german,der Umzug,street procession,festivals,noun,foundation
german,der Valentinstag,St Valentine’s Day,festivals,noun,foundation
german,sich verkleiden,to dress up,festivals,verb,foundation
german,verstecken,to hide,festivals,verb,foundation
german,Weihnachten,Christmas,festivals,noun,foundation
german,der Weihnachtsbaum,Christmas tree,festivals,noun,foundation
german,die Weihnachtslieder,Christmas carols,festivals,noun,foundation
german,die Ampel,traffic light,home and local area,noun,foundation
german,anbieten,to offer,home and local area,verb,foundation
german,das Angebot,offer,home and local area,noun,foundation
german,anmachen,to switch on,home and local area,verb,foundation
german,anprobieren,to try on,home and local area,verb,foundation
german,die Apotheke,pharmacy,home and local area,noun,foundation
german,der Apparat,appliance,home and local area,noun,foundation
german,aufräumen,to tidy up,home and local area,verb,foundation
german,ausgeben,to spend,home and local area,verb,foundation
german,ausmachen,to switch off,home and local area,verb,foundation
german,der Ausverkauf,sale,home and local area,noun,foundation
german,ausverkauft,sold out,home and local area,adj,foundation
german,die Bäckerei,bakery,home and local area,noun,foundation
german,der Backofen,oven,home and local area,noun,foundation
german,baden,to have a bath,home and local area,verb,foundation
german,die Badewanne,bathtub,home and local area,noun,foundation
german,das Bauernhaus,farm house,home and local area,noun,foundation
german,der Bauernhof,farm,home and local area,noun,foundation
german,der Baum,tree,home and local area,noun,foundation
german,das Benzin,petrol,home and local area,noun,foundation
german,der Berg,mountain,home and local area,noun,foundation
german,das Bild,picture,home and local area,noun,foundation
german,die Blume,flower,home and local area,noun,foundation
german,braten,to fry,home and local area,verb,foundation
german,die Brücke,bridge,home and local area,noun,foundation
german,die Bücherei,library,home and local area,noun,foundation
german,die Buchhandlung,book shop,home and local area,noun,foundation
german,der Bürgersteig,pavement,home and local area,noun,foundation
german,das Dach,roof,home and local area,noun,foundation
german,der Dachboden,attic,home and local area,noun,foundation
german,die Decke,ceiling,home and local area,noun,foundation
german,das Denkmal,monument,home and local area,noun,foundation
german,der Dom,cathedral,home and local area,noun,foundation
german,das Doppelhaus,semi-detached house,home and local area,noun,foundation
german,die Drogerie,chemist,home and local area,noun,foundation
german,die Ecke,corner,home and local area,noun,foundation
german,eigen,own,home and local area,other,foundation
german,das Einfamilienhaus,detached house,home and local area,noun,foundation
german,einkaufen,to shop,home and local area,verb,foundation
german,der Einkaufskorb,shopping basket,home and local area,noun,foundation
german,die Einkaufstasche,shopping bag,home and local area,noun,foundation
german,der Einkaufswagen,shopping trolley,home and local area,noun,foundation
german,einpacken,to pack,home and local area,verb,foundation
german,der Einwohner,inhabitant,home and local area,noun,foundation
german,das Elektrogeschäft,shop for electrical goods,home and local area,noun,foundation
german,das Erdgeschoss,ground floor,home and local area,noun,foundation
german,die Etage,floor,home and local area,noun,foundation
german,das Etagenbett,bunk bed,home and local area,noun,foundation
german,die Fabrik,factory,home and local area,noun,foundation
german,die Fahrkarte,ticket,home and local area,noun,foundation
german,das Feld,field,home and local area,noun,foundation
german,flach,flat,home and local area,adj,foundation
german,die Fleischerei,butcher,home and local area,noun,foundation
german,der Flur,hall,home and local area,noun,foundation
german,der Fluss,river,home and local area,noun,foundation
german,der Friseur,hairdresser,home and local area,noun,foundation
german,der Fußboden,floor,home and local area,noun,foundation
german,die Fußgängerzone,pedestrian zone,home and local area,noun,foundation
german,die Gabel,fork,home and local area,noun,foundation
german,der Gasherd,gas cooker,home and local area,noun,foundation
german,das Gebäude,building,home and local area,noun,foundation
german,die Gegend,area,home and local area,noun,foundation
german,günstig,good value,home and local area,adj,foundation
german,der Hafen,harbour,home and local area,noun,foundation
german,die Bushaltestelle,bus stop,home and local area,noun,foundation
german,der Hauptbahnhof,main railway station,home and local area,noun,foundation
german,die Hauptstadt,capital city,home and local area,noun,foundation
german,der Haushalt,household,home and local area,noun,foundation
german,die Hecke,hedge,home and local area,noun,foundation
german,die Heizung,heating,home and local area,noun,foundation
german,der Helm,helmet,home and local area,noun,foundation
german,der Herd,cooker,home and local area,noun,foundation
german,das Hochhaus,block of flats,home and local area,noun,foundation
german,der Hügel,hill,home and local area,noun,foundation
german,die Insel,island,home and local area,noun,foundation
german,das Juweliergeschäft,jeweller,home and local area,noun,foundation
german,kaputt,broken,home and local area,adj,foundation
german,die Kasse,till,home and local area,noun,foundation
german,das Kaufhaus,department store,home and local area,noun,foundation
german,der Kirchturm,church tower,home and local area,noun,foundation
german,das Kleidergeschäft,clothes shop,home and local area,noun,foundation
german,klingeln,to ring,home and local area,verb,foundation
german,klopfen,to knock,home and local area,verb,foundation
german,kochen,to cook,home and local area,verb,foundation
german,das Kochfeld,hob,home and local area,noun,foundation
german,die Kommode,chest of drawers,home and local area,noun,foundation
german,die Konditorei,confectioner,home and local area,noun,foundation
german,das Kopfkissen,pillow,home and local area,noun,foundation
german,kostenlos,free,home and local area,adj,foundation
german,die Kreuzung,crossroads,home and local area,noun,foundation
german,der Kühlschrank,fridge,home and local area,noun,foundation
german,der Kunde,customer,home and local area,noun,foundation
german,die Kunstgalerie,art gallery,home and local area,noun,foundation
german,der Laden,shop,home and local area,noun,foundation
german,das Land,country,home and local area,noun,foundation
german,die Landschaft,landscape,home and local area,noun,foundation
german,das Lebensmittelgeschäft,grocer,home and local area,noun,foundation
german,leeren,to empty,home and local area,verb,foundation
german,legen,to put down,home and local area,verb,foundation
german,das Licht,light,home and local area,noun,foundation
german,liefern,to deliver,home and local area,verb,foundation
german,der Löffel,spoon,home and local area,noun,foundation
german,mähen,to mow,home and local area,verb,foundation
german,die Mahlzeit,meal,home and local area,noun,foundation
german,die Marke,brand,home and local area,noun,foundation
german,der Marktplatz,marketplace,home and local area,noun,foundation
german,die Mauer,wall,home and local area,noun,foundation
german,das Messer,knife,home and local area,noun,foundation
german,die Metzgerei,butcher,home and local area,noun,foundation
german,die Miete,rent,home and local area,noun,foundation
german,mieten,to rent,home and local area,verb,foundation
german,die Mikrowelle,microwave,home and local area,noun,foundation
german,die Möbel,furniture,home and local area,noun,foundation
german,das Mofa,moped,home and local area,noun,foundation
german,das Motorrad,motorbike,home and local area,noun,foundation
german,nach oben,upstairs,home and local area,preposition,foundation
german,nach unten,downstairs,home and local area,preposition,foundation
german,der Nachbar,neighbour,home and local area,noun,foundation
german,der Nachteil,disadvantage,home and local area,noun,foundation
german,der Nachttisch,nightstand,home and local area,noun,foundation
german,der Notausgang,emergency exit,home and local area,noun,foundation
german,die Ordnung,order,home and local area,noun,foundation
german,der Parkplatz,parking space,home and local area,noun,foundation
german,die Pflanze,plant,home and local area,noun,foundation
german,das Plakat,billboard,home and local area,noun,foundation
german,der Platz,square,home and local area,noun,foundation
german,der Preis,price,home and local area,noun,foundation
german,putzen,to clean,home and local area,verb,foundation
german,die Quittung,receipt,home and local area,noun,foundation
german,der Rasen,lawn,home and local area,noun,foundation
german,das Regal,shelf,home and local area,noun,foundation
german,das Reihenhaus,terraced house,home and local area,noun,foundation
german,die Reinigung,dry cleaner,home and local area,noun,foundation
german,die Rolltreppe,escalator,home and local area,noun,foundation
german,die Sache,thing,home and local area,noun,foundation
german,sauber machen,to clean,home and local area,verb,foundation
german,das Schaufenster,shop window,home and local area,noun,foundation
german,Schlange stehen,to queue,home and local area,verb,foundation
german,der Schlüssel,key,home and local area,noun,foundation
german,der Schrank,cupboard,home and local area,noun,foundation
german,das Schreibwarengeschäft,stationery shop,home and local area,noun,foundation
german,die Schublade,drawer,home and local area,noun,foundation
german,das Sonderangebot,special offer,home and local area,noun,foundation
german,der Spiegel,mirror,home and local area,noun,foundation
german,der Spielplatz,playground,home and local area,noun,foundation
german,der Stadtrand,outskirts,home and local area,noun,foundation
german,stecken,to put,home and local area,verb,foundation
german,stellen,to put,home and local area,verb,foundation
german,die Straßenbahn,tram,home and local area,noun,foundation
german,tanken,to fill up with petrol,home and local area,verb,foundation
german,die Tankstelle,petrol station,home and local area,noun,foundation
german,die Tasse,cup,home and local area,noun,foundation
german,der Teelöffel,teaspoon,home and local area,noun,foundation
german,der Teller,plate,home and local area,noun,foundation
german,der Teppich,carpet,home and local area,noun,foundation
german,der Tiefkühlschrank,freezer,home and local area,noun,foundation
german,die Tischdecke,tablecloth,home and local area,noun,foundation
german,der Topf,pan,home and local area,noun,foundation
german,die Treppe,stairs,home and local area,noun,foundation
german,der Turm,tower,home and local area,noun,foundation
german,die U-Bahn,tube,home and local area,noun,foundation
german,umgeben von,surrounded by,home and local area,other,foundation
german,die Umgebung,local area,home and local area,noun,foundation
german,umziehen,to move house,home and local area,verb,foundation
german,der Vorhang,curtain,home and local area,noun,foundation
german,der Vorort,suburb,home and local area,noun,foundation
german,der Vorteil,advantage,home and local area,noun,foundation
german,der Wald,forest,home and local area,noun,foundation
german,die Wand,wall,home and local area,noun,foundation
german,das Warenhaus,department store,home and local area,noun,foundation
german,das Waschbecken,wash basin,home and local area,noun,foundation
german,die Wiese,meadow,home and local area,noun,foundation
german,der Wintergarten,conservatory,home and local area,noun,foundation
german,der Wohnblock,block of flats,home and local area,noun,foundation
german,der Zebrastreifen,zebra crossing,home and local area,noun,foundation
german,abhängig,dependent,health and social issues,adj,foundation
german,abnehmen,to lose weight,health and social issues,verb,foundation
german,die Ader,vein,health and social issues,noun,foundation
german,das Altenheim,old people's home,health and social issues,noun,foundation
german,anonym,anonymous,health and social issues,adj,foundation
german,atmen,to breathe,health and social issues,verb,foundation
german,aufgeben,to give up,health and social issues,verb,foundation
german,der Ausländer,foreigner,health and social issues,noun,foundation
german,ausländisch,foreign,health and social issues,adj,foundation
german,betrunken,drunk,health and social issues,adj,foundation
german,die Bewegung,movement,health and social issues,noun,foundation
german,bewusstlos,unconscious,health and social issues,adj,foundation
german,das Bewusstsein,consciousness,health and social issues,noun,foundation
german,bio,organic,health and social issues,adj,foundation
german,das Blut,blood,health and social issues,noun,foundation
german,brechen,to be sick,health and social issues,verb,foundation
german,die Droge,drug,health and social issues,noun,foundation
german,der Drogenhändler,drug dealer,health and social issues,noun,foundation
german,der Drogensüchtige,drug addict,health and social issues,noun,foundation
german,der Einwanderer,immigrant,health and social issues,noun,foundation
german,sich entspannen,to relax,health and social issues,verb,foundation
german,die Ernährung,diet,health and social issues,noun,foundation
german,Erste Hilfe,First Aid,health and social issues,noun,foundation
german,das Fett,fat,health and social issues,noun,foundation
german,fettig,fatty,health and social issues,adj,foundation
german,fettleibig,obese,health and social issues,adj,foundation
german,die Feuerwehr,fire brigade,health and social issues,noun,foundation
german,freiwillig,voluntarily,health and social issues,other,foundation
german,der Freiwillige,volunteer,health and social issues,noun,foundation
german,gebrochen,broken,health and social issues,adj,foundation
german,gesund,healthy,health and social issues,adj,foundation
german,die Gesundheit,health,health and social issues,noun,foundation
german,das Gewicht,weight,health and social issues,noun,foundation
german,gewinnen,to win,health and social issues,verb,foundation
german,die Gleichheit,equality,health and social issues,noun,foundation
german,halten,to keep,health and social issues,verb,foundation
german,die Hautfarbe,skin colour,health and social issues,noun,foundation
german,das Heim,home,health and social issues,noun,foundation
german,helfen,to help,health and social issues,verb,foundation
german,das Herz,heart,health and social issues,noun,foundation
german,die Hilfe,help,health and social issues,noun,foundation
german,hilflos,helpless,health and social issues,adj,foundation
german,krank,ill,health and social issues,adj,foundation
german,das Krankenhaus,hospital,health and social issues,noun,foundation
german,der Krankenwagen,ambulance,health and social issues,noun,foundation
german,die Krankheit,illness,health and social issues,noun,foundation
german,der Krebs,cancer,health and social issues,noun,foundation
german,die Leber,liver,health and social issues,noun,foundation
german,der Magen,stomach,health and social issues,noun,foundation
german,das Medikament,medicine,health and social issues,noun,foundation
german,menschlich,humane,health and social issues,adj,foundation
german,der Preis,prize,health and social issues,noun,foundation
german,die Rasse,race,health and social issues,noun,foundation
german,der Rassismus,racism,health and social issues,noun,foundation
german,rassistisch,racist,health and social issues,adj,foundation
german,der Rat,advice,health and social issues,noun,foundation
german,rauchen,to smoke,health and social issues,verb,foundation
german,das Rote Kreuz,Red Cross,health and social issues,noun,foundation
german,die Ruhe,peace,health and social issues,noun,foundation
german,schädlich,harmful,health and social issues,adj,foundation
german,der Schmerz,pain,health and social issues,noun,foundation
german,die Sorge,worry,health and social issues,noun,foundation
german,spenden,to donate,health and social issues,verb,foundation
german,die Spritze,injection,health and social issues,noun,foundation
german,spritzen,to inject,health and social issues,verb,foundation
german,sterben,to die,health and social issues,verb,foundation
german,die Sucht,addiction,health and social issues,noun,foundation
german,süchtig,addicted,health and social issues,adj,foundation
german,das Tierheim,animal shelter,health and social issues,noun,foundation
german,tot,dead,health and social issues,adj,foundation
german,übel,sick,health and social issues,adj,foundation
german,der Unfall,accident,health and social issues,noun,foundation
german,der Verkehrsunfall,traffic accident,health and social issues,noun,foundation
german,sich verletzen,to get injured,health and social issues,verb,foundation
german,die Verletzung,injury,health and social issues,noun,foundation
german,weh tun,to hurt,health and social issues,verb,foundation
german,die Wohltätigkeit,charity,health and social issues,noun,foundation
german,die Wohltätigkeitsveranstaltung,charity event,health and social issues,noun,foundation
german,zunehmen,to put on weight,health and social issues,verb,foundation
german,der Abfall,rubbish,global issues,noun,foundation
german,der Abfalleimer,rubbish bin,global issues,noun,foundation
german,die Abgase,exhaust fumes,global issues,noun,foundation
german,die Energiequelle,energy source,global issues,noun,foundation
german,das Altpapier,waste paper,global issues,noun,foundation
german,anbauen,to grow,global issues,verb,foundation
german,arbeitslos,unemployed,global issues,adj,foundation
german,arm,poor,global issues,adj,foundation
german,die Armut,poverty,global issues,noun,foundation
german,aussterben,to die out,global issues,verb,foundation
german,bedrohen,to threaten,global issues,verb,foundation
german,das Benzin,petrol,global issues,noun,foundation
german,der Bettler,beggar,global issues,noun,foundation
german,die Bevölkerung,population,global issues,noun,foundation
german,biologisch,biological,global issues,adj,foundation
german,der Biomüll,organic waste,global issues,noun,foundation
german,bleifrei,lead free,global issues,adj,foundation
german,brauchen,to need,global issues,verb,foundation
german,der Brennstoff,fuel,global issues,noun,foundation
german,chemisch,chemical,global issues,adj,foundation
german,der Dieb,thief,global issues,noun,foundation
german,die Diskriminierung,discrimination,global issues,noun,foundation
german,einsam,lonely,global issues,adj,foundation
german,entsorgen,to dispose of ,global issues,verb,foundation
german,erfrieren,to freeze to death,global issues,verb,foundation
german,der Fahrradweg,cycle lane,global issues,noun,foundation
german,FCKWs,CFCs,global issues,noun,foundation
german,fliehen,to flee,global issues,verb,foundation
german,der Flüchtling,refugee,global issues,noun,foundation
german,der Gebrauch,usage,global issues,noun,foundation
german,gefährlich,dangerous,global issues,adj,foundation
german,die Gesellschaft,society,global issues,noun,foundation
german,die Gewalt,violence,global issues,noun,foundation
german,gewalttätig,violent,global issues,adj,foundation
german,heizen,to heat,global issues,verb,foundation
german,die Heizung,heating,global issues,noun,foundation
german,im Freien,outside,global issues,other,foundation
german,der Kaugummi,chewing gum,global issues,noun,foundation
german,die Kohle,coal,global issues,noun,foundation
german,das Kraftwerk,power station,global issues,noun,foundation
german,der Krieg,war,global issues,noun,foundation
german,der Kunststoff,synthetic material,global issues,noun,foundation
german,der Lärm,noise,global issues,noun,foundation
german,laut,noisy,global issues,adj,foundation
german,das Leben,life,global issues,noun,foundation
german,die Luft,air,global issues,noun,foundation
german,die Luftverschmutzung,air pollution,global issues,noun,foundation
german,der Müll,rubbish,global issues,noun,foundation
german,die Mülltonne,dustbin,global issues,noun,foundation
german,die Not,need,global issues,noun,foundation
german,obdachlos,homeless,global issues,adj,foundation
german,öffentlich,public,global issues,adj,foundation
german,das Opfer,victim,global issues,noun,foundation
german,das Ozonloch,hole in the ozone layer,global issues,noun,foundation
german,die Ozonschicht,ozone layer,global issues,noun,foundation
german,das Pfand,deposit,global issues,noun,foundation
german,reich,rich,global issues,adj,foundation
german,reinigen,to clean,global issues,verb,foundation
german,sauber,clean,global issues,adj,foundation
german,der Sauerstoff,oxygen,global issues,noun,foundation
german,der saure Regen,acid rain,global issues,noun,foundation
german,schaden,to harm,global issues,verb,foundation
german,der Schaden,damage,global issues,noun,foundation
german,schädlich,harmful,global issues,adj,foundation
german,die Schale,peel,global issues,noun,foundation
german,schmutzig,dirty,global issues,adj,foundation
german,schützen,to protect,global issues,verb,foundation
german,schwach,weak,global issues,adj,foundation
german,die Solarzelle,solar cell,global issues,noun,foundation
german,die Sonnenenergie,solar energy,global issues,noun,foundation
german,die Sozialhilfe,income support,global issues,noun,foundation
german,die Sozialwohnung,council flat,global issues,noun,foundation
german,sparen,to save,global issues,verb,foundation
german,die Spraydose,aerosol,global issues,noun,foundation
german,stark,strong,global issues,adj,foundation
german,stehlen,to steal,global issues,verb,foundation
german,die Suppenküche,soup kitchen,global issues,noun,foundation
german,der Treibhauseffekt,greenhouse effect,global issues,noun,foundation
german,überbevölkert,over-populated,global issues,adj,foundation
german,die ultraviolette Strahlen,ultra-violet rays,global issues,noun,foundation
